quota,p1_weight_share,p2_weight_share,p3_weight_share,p4_weight_share,p1_raw,p2_raw,p3_raw,p4_raw,p1_banzhaf,p2_banzhaf,p3_banzhaf,p4_banzhaf
1,0.4,0.3,0.2,0.1,1,1,1,1,0.25,0.25,0.25,0.25
2,0.4,0.3,0.2,0.1,2,2,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
3,0.4,0.3,0.2,0.1,3,3,1,1,0.375,0.375,0.125,0.125
4,0.4,0.3,0.2,0.1,5,3,1,1,0.5,0.3,0.1,0.1
5,0.4,0.3,0.2,0.1,5,3,3,1,0.4166666666666667,0.25,0.25,0.08333333333333333
6,0.4,0.3,0.2,0.1,5,3,3,1,0.4166666666666667,0.25,0.25,0.08333333333333333
7,0.4,0.3,0.2,0.1,5,3,1,1,0.5,0.3,0.1,0.1
8,0.4,0.3,0.2,0.1,3,3,1,1,0.375,0.375,0.125,0.125
9,0.4,0.3,0.2,0.1,2,2,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
10,0.4,0.3,0.2,0.1,1,1,1,1,0.25,0.25,0.25,0.25
